"Ticker","Company Name","2015","2014","2013","2012","2011","2010","2009","2008"
"APC","Anadarko Petroleum Corp.","24,685.6","41,794.5","39,953.5","37,192.2","38,042.9","37,790.6","30,748.1","17,729.1"
"APD","Air Products & Chemicals","28,037.4","30,904.7","23,660.8","17,444.7","17,941.5","19,547.0","17,197.1","10,539.3"
"APH","Amphenol Corp.","16,100.5","16,674.9","14,108.8","10,342.8","7,404.1","9,265.6","7,998.8","4,105.0"
"APOL","Apollo Group Inc.","N/A","3,714.5","3,095.4","2,348.1","7,028.9","5,835.4","9,373.9","12,178.4"
"ARG","Airgas Inc.","9,987.0","8,641.6","8,257.8","6,989.2","5,948.9","5,253.1","3,912.2","3,162.8"
"ASH","Ashland Inc.","N/A","8,383.2","7,472.1","6,352.4","4,458.5","4,017.9","2,971.5","662.1"
"ATI","Allegheny Technologies Inc.","N/A","3,779.9","3,847.4","3,260.6","5,083.8","5,437.5","4,390.6","2,484.9"
"ATVI","Activision Blizzard Inc","28,304.1","14,546.9","12,547.1","11,805.3","13,963.4","14,720.5","13,892.3","11,337.7"
"AW","Allied Waste Industries Inc.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVB","AvalonBay Communities","25,203.2","21,575.6","15,301.0","15,511.9","12,430.0","9,667.9","6,694.3","4,671.9"
"AVGO","Avago Technologies","40,132.5","25,780.2","13,202.7","7,788.7","7,034.9","6,915.8","4,317.4","N/A"
"AVP","Avon Products","N/A","4,081.8","7,471.8","6,206.4","7,526.1","12,482.4","13,465.6","10,245.2"
"AVY","Avery Dennison Corp","5,708.5","4,693.0","4,827.2","3,489.0","3,047.8","4,462.3","3,842.9","3,219.6"
"AXP","American Express Co","68,454.3","95,179.9","96,536.7","63,515.4","54,905.9","51,375.2","48,299.8","21,518.0"
"AYE","Allegheny Energy Inc.","N/A","N/A","N/A","N/A","N/A","4,120.1","3,981.5","5,734.7"
"AZO","AutoZone Inc","22,617.1","19,748.4","16,110.9","12,876.8","12,790.8","11,937.3","7,823.8","8,014.6"
"BA","Boeing Co.","96,873.0","92,666.6","102,565.8","56,827.2","54,516.2","47,873.4","39,330.8","30,075.3"
"BAC","Bank of America Corp.","175,242.0","188,139.3","166,071.7","125,133.5","56,355.4","134,535.9","130,273.1","70,647.5"
"BAX","Baxter International Inc.","20,868.7","39,750.9","37,768.3","36,410.6","27,756.8","29,396.7","35,265.0","33,011.1"
"BBBY","Bed Bath & Beyond","8,052.5","14,137.2","17,098.0","12,643.3","13,985.0","12,520.1","10,116.0","6,602.2"
"BBT","BB&T Corp.","29,497.5","28,027.9","26,371.1","20,369.1","17,547.1","18,255.3","17,499.0","15,357.0"
"BBY","Best Buy Co. Inc.","10,435.8","13,700.2","13,828.4","4,008.6","8,272.8","13,512.6","16,495.5","11,621.5"
"BC","Brunswick Corp.","N/A","4,751.5","4,256.4","2,607.4","1,609.2","1,661.5","1,121.8","369.4"
"BCR","C. R. Bard, Inc","13,997.0","12,478.7","10,371.8","7,985.1","7,228.4","7,798.1","7,471.9","8,374.9"
"BDK","Black & Decker","N/A","N/A","N/A","N/A","N/A","N/A","3,996.4","2,512.5"
"BDX","Becton Dickinson","32,472.5","26,911.0","21,432.5","15,313.5","15,960.5","19,122.9","18,684.1","16,481.0"
"BEAM","Beam Inc.","N/A","N/A","11,137.0","9,781.7","7,988.8","9,231.0","6,499.6","6,196.2"
"BEN","Franklin Resources","22,146.8","34,463.8","36,422.8","26,714.3","20,744.0","24,832.5","24,041.4","14,855.5"
"BF.B","Brown-Forman Corp.","11,597.8","18,509.7","16,116.7","13,510.9","11,433.4","10,107.8","7,868.6","7,747.3"
"BHI","Baker Hughes Inc","20,125.4","24,334.4","24,203.9","18,014.9","21,255.7","24,697.4","12,629.8","9,909.6"
"BIG","Big Lots Inc.","N/A","2,117.5","1,858.2","1,629.9","2,401.9","2,250.8","2,374.1","1,178.3"
"BIIB","Biogen Idec, Inc.","68,286.3","79,622.4","66,071.3","34,628.5","26,644.8","16,128.1","14,704.7","13,719.6"
"BJS","BJ Services Co.","N/A","N/A","N/A","N/A","N/A","N/A","5,434.1","3,433.7"
"BK","BNY Mellon","45,051.5","45,366.5","39,910.2","29,901.7","24,084.6","37,494.2","33,783.1","32,536.1"
"BLK","BlackRock","55,842.9","59,684.6","53,396.4","35,392.1","31,781.8","36,437.4","43,840.5","17,425.5"
"BLL","Ball Corp","9,914.6","9,337.0","7,341.8","6,700.4","5,724.9","5,857.7","4,860.8","3,898.3"
"BMC","BMC Software","N/A","N/A","N/A","5,701.3","5,300.5","8,353.2","7,294.2","4,970.3"
"BMS","Bemis","N/A","4,439.6","4,173.8","3,453.1","3,097.8","3,516.6","3,208.8","2,361.1"
